keys,zh,en
MARKET_RULE_TOTAL,#1: %s/周需求 · #2-3: %s · #4+: %s/周需求  +  时间曲线引流 (#1 ×1.0 · #2 ×0.5 · #3 ×0.25 · #4+ ×0),#1: %s/wk demand · #2-3: %s · #4+: %s/wk demand  +  time-curve inflow (#1 ×1.0 · #2 ×0.5 · #3 ×0.25 · #4+ ×0)
MARKET_RULE_DISPLAY,"(展示榜, 不直接换算成需求加成 — 看总榜 + 各子榜)",(display board — not converted to demand directly; see overall + sub-boards)
MARKET_RULE_SUB,#1: %s/周需求 · #2-3: %s · #4+: %s/周需求 (在对应产品类型上),#1: %s/wk demand · #2-3: %s · #4+: %s/wk demand (on the matching product type)
CAMPAIGN_CAP_REASON,"已达活动并发上限 (%d / %d), 终止一个才能再开",Campaign limit reached (%d / %d) — terminate one to open another
CAMPAIGN_NO_PRODUCT_REASON,先创建一个产品才能开 campaign,Create a product first to run a campaign
PRODUCT_LABEL_UNKNOWN,(未知),(unknown)
PRODUCT_LABEL_DELETED,(产品已被删除),(product deleted)
PRODUCT_LABEL_FMT,%s  (%s · %s),%s  (%s · %s)
REV_NOT_SETTLED,(尚未结算),(not settled yet)
REV_SETTLE_INFO,结算回合 %d  ·  丢失 API 需求 %s,Settled turn %d  ·  lost API demand %s
REV_CHIP_TOTAL,总营收,Total revenue
REV_CHIP_API,API 营收,API revenue
REV_CHIP_SUB,订阅营收,Subscription revenue
REV_DEMAND_DETAIL,      订阅 %s  ·  API %s,      Subscription %s  ·  API %s
SECTION_REVENUE_DETAIL,营收明细 (按模型),Revenue (by model)
REV_SOURCE_LABEL,来源占比,Revenue mix
REV_SOURCE_VALUE,API %d%%  ·  订阅 %d%%,API %d%%  ·  Subscription %d%%
REV_KIND_API,API,API
REV_KIND_SUB,订阅,Subscription
CALL_OK,%s 成功,%s — done
CALL_FAILED,%s 失败: %s,%s — failed: %s
REPORT_STARTED,"%s 已开始 (%s, %d 周)","%s — started (%s, %d wk)"
CALL_EVENT_CHOICE,事件: %s,Event: %s
CALL_EVENT_DISMISS,关闭事件,Dismiss event
CALL_START_CAMPAIGN,启动营销活动,Start campaign
CALL_POSTTRAIN,后训练 %s,Post-train %s
CALL_EVALUATE,评估 %s,Evaluate %s
CALL_CREATE_CHATBOT,创建 chatbot,Create chatbot
CALL_CREATE_AGENT,创建 agent,Create agent
TOAST_PRETRAIN_STARTED,"预训练已开始 (%s, %d 周)","Pretraining started (%s, %d wk)"
TOAST_DC_CREATED,数据中心 %s 已创建,Datacenter %s created
TOAST_PRODUCT_LIVE,产品 %s 已上线,Product %s is live
TOAST_RESEARCH_STARTED,研究 %s 已开始 (%d 周),Research %s started (%d wk)
TOAST_PRODUCT_SAVED,产品 %s 已保存,Product %s saved
TOAST_EVAL_FAILED_NO_LEAD,评估失败: 请招聘 eval_lead 或先在招聘 tab 创建创始人,Evaluate failed: hire an eval_lead or create a founder in Hiring first
TOAST_PRICE_FAILED_UNKNOWN,改价失败: unknown_model,Price change failed: unknown_model
TOAST_PRICE_UPDATED,模型单价已更新为 %s,Model price updated to %s
TOAST_CREATE_FAILED_TYPE,创建产品失败: unknown_type,Create product failed: unknown_type
TOAST_CREATE_FAILED_NO_MODEL,创建产品失败: 没有满足门槛的已发布模型,Create product failed: no published model meets the threshold
TOAST_CREATE_API_OK,创建 API (%s) 成功,API created (%s)
TOAST_CREATE_API_FAILED,创建 API 失败: %s,API creation failed: %s
TOAST_CREATE_OK,创建 %s 成功,Created %s
TOAST_CREATE_FAILED,创建 %s 失败: %s,Create %s failed: %s
TOAST_PRODUCT_PRICE_FAILED,产品改价失败: unknown_product,Product price change failed: unknown_product
TOAST_NO_CHIEF_ENGINEER,没有空闲的 chief_engineer,No idle chief_engineer
TOAST_NO_PUBLISHED_MODEL,没有已发布的模型,No published model
FMT_FREE,免费,Free
FMT_UNKNOWN_FLOPS,未知 FLOPs/tok,Unknown FLOPs/tok
FMT_TPS,%s (%s tok/周),%s (%s tok/wk)
TECH_NO_EFFECT,(暂无效果摘要),(no effect summary)
CALL_STAFF_ADD,+ 员工,+ Staff
CALL_STAFF_REMOVE,- 员工,- Staff
RATE_BRACKET,[%s/周%s],[%s/wk%s]
RATE_INFLOW, + 引流 ×%.2f, + inflow ×%.2f
MODEL_CAP_NA,?? (未评估),?? (not evaluated)
MODEL_EVAL_STALE_SUFFIX, (评估已过期), (evaluation stale)
DC_SERVE_OS_PREFIX,开源,OS
DC_POWER_DETAIL,"%s($%s/卡/周, 效率 %.2f)","%s ($%s/GPU/wk, eff %.2f)"
_PIPELINE_FALLBACK_SMOKE,回落冒烟,
DC_TRAIN_BONUS,太空加成,Space bonus
PRETRAIN_DC_SPACE_BONUS,太空 +%d%%,space +%d%%
NAV_CHARITY,慈善,Philanthropy
CHARITY_SECTION,公益捐助,Philanthropy
CHARITY_TAX_NOTE,捐助当周全额抵税（企业税 25%；利润超 10 亿再 +20% AI 税）。,Donations are fully tax-deductible the week they're made (25% corporate tax; +20% AI tax on profit above 1B).
CHARITY_FIELD_BONUS,当前加成,Active bonus
CHARITY_FIELD_DONATED,累计已捐,Total donated
CHARITY_FIELD_NEXT,下一档,Next tier
CHARITY_FIELD_IN_PROGRESS,进行中,In progress
CHARITY_STATUS_NONE,未捐助,Not yet
CHARITY_NEXT_FMT,需捐 $%s,Donate $%s
CHARITY_NEXT_CAPPED,已达顶档,Top tier reached
CHARITY_IN_PROGRESS_FMT,$%s · 还剩 %d/%d 周,$%s · %d/%d weeks left
CHARITY_IN_PROGRESS_MORE, 等 %d 项, +%d more
CHARITY_BONUS_S,S 级人才权重 +%.2f,S-tier talent weight +%.2f
CHARITY_BONUS_VALUATION,估值 +%d%%,Valuation +%d%%
CHARITY_BONUS_CONVERSION,营销转化率 +%d%%,Marketing conversion +%d%%
CHARITY_TIER_BTN_FMT,捐助 %s · $%s,Donate %s · $%s
CHARITY_TIER_DONE_FMT,%s · 已完成,%s · Done
CHARITY_TIER_LOCKED_FMT,%s · 未解锁,%s · Locked
CALL_CHARITY_DONATE,发起公益捐助…,Starting donation…
NAV_OFFICE,办公室,Office
OFFICE_DESK_SECTION,荣誉桌,Honor Desk
OFFICE_CABINET_SECTION,收藏柜,Collection Cabinet
OFFICE_AUCTION_SECTION,拍卖行,Auction House
OFFICE_TROPHY_EARNED,已获得,Earned
OFFICE_TROPHY_LOCKED,未获得,Locked
OFFICE_FIELD_HINT,获取条件,How to earn
OFFICE_FIELD_BOUGHT,买入价,Bought at
OFFICE_FIELD_PRICE,当前市价,Market price
OFFICE_FIELD_PNL,浮动盈亏,Unrealized P&L
OFFICE_FIELD_SELL_FEE,抽成,Sell fee
OFFICE_BUY_BTN,买入 $%s,Buy $%s
OFFICE_SELL_BTN,卖出,Sell
OFFICE_SELL_BTN_FMT,卖出 $%s,Sell $%s
OFFICE_CABINET_EMPTY,收藏柜还空着，去拍卖行淘点宝贝。,Cabinet's empty — grab something at auction.
OFFICE_AUCTION_EMPTY,拍卖行暂无可买。,Nothing left at auction.
OFFICE_COMPUTER_TOOLTIP,点击查看收藏柜,Click to open your collection
CAT_AI_HARDWARE,AI 硬件,AI hardware
CAT_TRADING_CARD,卡牌,Trading card
CAT_CRYPTO,数字货币,Crypto
CAT_SUPERCAR,超跑,Supercar
CAT_PAINTING,名画,Painting
CALL_COLLECTION_BUY,买入收藏品…,Buying collectible…
CALL_COLLECTION_SELL,卖出收藏品…,Selling collectible…
SIM_SECTION,宇宙模拟工程,Universe Simulation
SIM_STATUS_DONE,已完成,Done
SIM_STATUS_RUNNING,计算中,Computing
SIM_STATUS_AVAILABLE,可启动,Ready
SIM_STATUS_LOCKED,未解锁,Locked
SIM_FIELD_COMPUTE,算力门槛,Compute req.
SIM_FIELD_TIME,计算时间,Compute time
SIM_FIELD_COST,捐助资金,Funding
SIM_FIELD_REMAINING,剩余,Remaining
SIM_WEEKS_FMT,%d 周,%d wk
SIM_GPU_FMT,%s 卡,%s GPUs
SIM_START_BTN,捐建并启动,Fund & start
SIM_GATE_COMPUTE,无满足算力门槛的可捐数据中心,No datacenter meets the compute requirement
SIM_GATE_CASH,现金不足,Not enough cash
SIM_ANSWER,🌌 终极答案：42,🌌 The Ultimate Answer: 42
SIM_REVEAL_TITLE,终极答案已送达,The Ultimate Answer Has Arrived
SIM_REVEAL_BODY,"宇宙模拟计算完成。一个密封盒已经摆在办公室里，打开它查看结果。","The universe simulation is complete. A sealed box has been placed in your office. Open it to see the result."
SIM_REVEAL_OK,去办公室,Go to Office
CALL_SIM_START,启动宇宙模拟…,Starting simulation…
SIM_DONATE_TITLE,捐建数据中心 · %s,Donate a Datacenter · %s
SIM_DONATE_REQ,算力门槛 %s · 捐助资金 $%s · 计算 %d 周,Compute %s · Funding $%s · %d weeks
SIM_DONATE_PICK,选择要永久捐出的数据中心：,Choose a datacenter to donate (permanent):
SIM_DONATE_NONE,没有满足算力门槛的空闲、未出租自有数据中心。先把一座数据中心堆到足够算力并停止出租再来。,"No idle, not-rented-out owned datacenter meets the compute requirement — build one up and stop renting it out first."
SIM_DONATE_DC_FMT,%s · %s 卡 · %s,%s · %s GPUs · %s
SIM_DONATE_WARN,注意：选中的数据中心连卡带机房一起永久捐出，无法收回。,Note: the chosen datacenter (GPUs and facility) is donated permanently and cannot be recovered.
SIM_DONATE_CONFIRM,捐建并启动,Donate & start
SIM_DONATE_CANCEL,再想想,Reconsider
NAV_GROUP_OTHER,其他,Other
NAV_AUCTION,拍卖行,Auction
TUTORIAL_TITLE,欢迎加入 Scaling Up,Welcome to Scaling Up
TUTORIAL_PREV,上一步,Back
TUTORIAL_NEXT,下一步,Next
TUTORIAL_START,开始游戏,Start
TUTORIAL_SKIP,不再显示,Don't show again
TUTORIAL_PAGE_FMT,第 %d / 共 %d 页,Page %d of %d
TUTORIAL_P1_TITLE,你是一家 AI 公司的创始人,You're the founder of an AI lab
TUTORIAL_P1_BODY,"你的目标: 把模型做强、做出产品、赚到钱, 再把钱投回研发, 滚起飞轮。\n游戏每周一回合。安排好这一周的事 (招人 / 买算力 / 开训练 / 上产品) 后, 点顶栏的「推进回合」, 这一周就会结算: 任务推进、产生营收、扣掉开销。\n顶栏随时显示你的回合、现金、周净现金流、付费用户和算力。","Your goal: build strong models, ship products, make money, then reinvest it into R&D to spin up the flywheel.\nThe game runs one turn per week. Line up what you want this week (hire / buy compute / start training / launch a product), then hit Advance Turn in the top bar to settle the week: tasks progress, revenue comes in, costs go out.\nThe top bar always shows your turn, cash, weekly net cash flow, paid users and compute."
TUTORIAL_P2_TITLE,训练一个模型,Training a model
TUTORIAL_P2_BODY,"做强模型是公司的根基, 大致流程:\n· 招人: 在「招聘」雇 lead 和员工, 他们的专长决定训练加成。\n· 算力: 在「基建」建机房、买 GPU、选供电, 这是训练的硬件底子。\n· 数据: 在「数据」获取数据集 (开源 / 购买 / 采集), 训练时会被占用。\n· 开训练: 在「模型」点训练新模型, 选架构 / 规模 / 数据, 启动一个训练任务。\n· 推进回合: 训练要跑若干周, 完成后得到模型; 还要「评估」才能看到真实能力, 满意就「发布」。","Strong models are the foundation. The rough flow:\n· Hire: in Hiring, recruit leads and staff — their specialties give training bonuses.\n· Compute: in Infra, build datacenters, buy GPUs and pick power — the hardware your training runs on.\n· Data: in Data, get datasets (open-source / purchase / collect); they're locked while training.\n· Start training: in Models, start a new model — choose architecture / size / data to kick off a training task.\n· Advance turns: training takes several weeks; when done you get the model. Evaluate it to reveal its real capabilities, then Publish."
TUTORIAL_P3_TITLE,创建与影响产品,Building and shaping products
TUTORIAL_P3_BODY,"模型只有变成产品才会赚钱:\n· 创建产品: 在「产品」用一个已发布的模型创建产品 (聊天助手 / API 等), 模型越强, 产品上限越高。\n· 获取用户: 产品上线后吸引用户; 在「营销」投放可加速增长, 定价影响付费转化。\n· 产生营收: 用户带来周营收, 在「营收」能看到收入构成。\n· 持续影响: 换上更强的模型、研究相关科技、调整定价与营销, 都会改变它的表现。\n· 飞轮: 把营收投回招人 / 算力 / 研究, 做出更强的模型和产品。","Models only make money once they become products:\n· Create a product: in Products, build a product (assistant / API, etc.) on a published model — a stronger model raises the product's ceiling.\n· Get users: a launched product attracts users; Marketing campaigns speed up growth, and pricing affects paid conversion.\n· Earn revenue: users bring weekly revenue — see the breakdown in Revenue.\n· Keep shaping it: swap in a stronger model, research relevant tech, and tune pricing & marketing to change how it performs.\n· Flywheel: reinvest revenue into hiring / compute / research to build even better models and products."
TUTORIAL_P4_TITLE,随时查看帮助,Help is always there
TUTORIAL_P4_BODY,"迷路了不用慌。右侧导航最下方的「帮助」里, 有每个系统怎么玩的说明, 随时可以点开看。\n准备好了就点「开始游戏」, 开启你的 Scaling Up 之路。","Lost? No worries. The Help entry at the bottom of the right-hand navigation explains how each system works — open it any time.\nWhen you're ready, hit Start and begin your Scaling Up journey."
NAV_HELP,帮助,Help
HELP_REPLAY_TUTORIAL,重新查看新手引导,Replay tutorial
HELP_TURN_TITLE,回合与时间,Turns & time
HELP_TURN_BODY,"游戏以「周」为回合。你在一周内做决策 (招人 / 训练 / 产品 / 研究 / 捐助...), 然后点顶栏「推进回合」结算这一周。\n结算时: 进行中的任务推进进度、产品产生营收、扣除工资与运营开销、按规则收税。\n有未处理的事件时无法推进, 先去「事件」处理。","The game advances one week per turn. You make decisions during the week (hiring, training, products, research, donations...), then click Advance Turn in the top bar to settle it.\nOn settlement: in-progress tasks advance, products earn revenue, salaries and operating costs are deducted, and taxes apply on schedule.\nYou can't advance while events are pending — handle them in Events first."
HELP_TRAINING_TITLE,模型训练,Model training
HELP_TRAINING_BODY,"在「模型」训练并管理模型。新模型经历四个阶段: 预训练 → (可选) 后训练 → 评估 → 发布。\n训练时选架构族、模型规模、注意力 / Loss / 上下文等轴, 以及要喂的数据集; 规模和数据越大越强, 但更贵、更慢、更吃算力。\n训练完成的模型必须「评估」后才显示真实能力; 满意就「发布」, 之后才能拿去支撑产品。","Train and manage models in Models. A new model goes through four stages: pretrain → (optional) post-train → evaluate → publish.\nWhen training you pick an architecture family, model size, the attention / loss / context axes, and the datasets to feed it; bigger size and more data make a stronger model but cost more, take longer and need more compute.\nA finished model must be Evaluated before its true capabilities show; Publish it when satisfied so it can back a product."
HELP_PRODUCT_TITLE,产品与营收,Products & revenue
HELP_PRODUCT_BODY,"在「产品」用已发布模型创建产品。产品类型 (如聊天助手 / API / 行业应用) 有不同的解锁条件与用户/营收特征。\n产品靠模型能力吸引用户, 用户按定价转化为付费, 形成周营收 (在「营收」看构成)。\n想提升产品: 换更强的模型、研究相关科技、调整定价、在「营销」投放拉新。","In Products, create a product on a published model. Product types (assistant / API / vertical app...) have different unlock requirements and user/revenue profiles.\nProducts attract users via model capability; users convert to paying customers based on price, producing weekly revenue (see Revenue for the breakdown).\nTo improve a product: swap in a stronger model, research relevant tech, tune pricing, and run Marketing campaigns to grow."
HELP_ECONOMY_TITLE,经济与融资,Economy & funding
HELP_ECONOMY_BODY,"「经济」是钱的中枢。现金可以为负, 但赤字太久会破产 (游戏结束)。\n开销: 工资、运营、税。收入: 产品营收、出租闲置算力等。\n缺钱时可在「经济」借贷 (要还本付息) 或发起融资轮 (出让股权换现金, 创始人持股有下限)。周度财报和上周收支明细也在这里。","Economy is the money hub. Cash can go negative, but staying in deficit too long means bankruptcy (game over).\nCosts: salaries, operations, taxes. Income: product revenue, renting out idle compute, etc.\nWhen short on cash, take a loan in Economy (repaid with interest) or raise a funding round (trade equity for cash; your founder stake has a floor). Weekly financials and last week's ledger live here too."
HELP_HIRING_TITLE,招聘与员工,Hiring & staff
HELP_HIRING_BODY,"在「招聘」雇人, 在「员工」管理在册人员。\nLead 是具名骨干, 有不同专长 (预训练 / 后训练 / 研究 / 营销...), 给对应任务加成; 员工是按角色聚合的人力 (如工程师), 任务会占用空闲员工。\n雇人要付签字费, 每周还要发工资 —— 别让薪资压垮现金流。你本人作为创始人也在 leads 里, 免费且不可解雇。","Recruit in Hiring; manage your roster in Staff.\nLeads are named key people with specialties (pretrain / post-train / research / marketing...) that boost matching tasks; staff are role-based headcount (e.g. engineers) that tasks consume when idle.\nHiring costs a signing fee plus weekly salary — don't let payroll crush your cash flow. You, the founder, are also in the leads list: free and can't be fired."
HELP_INFRA_TITLE,基建与算力,Infrastructure & compute
HELP_INFRA_BODY,"在「基建」搭建你的算力。两种资产配套: 机房 (决定容量 / 场地档位) + GPU (单独购买, 一个机房只装一种型号)。\n还要选供电方式, 它影响电费、集群效率和声誉。算力 (FLOPs / 每秒 token) 决定你能训多大的模型、跑多快。\n闲置的自有算力可以对外出租赚钱; 公共开源模型也能在这里直接部署做推理服务。","Build your compute in Infra. Two paired assets: datacenters (set capacity / site tier) and GPUs (bought separately; one datacenter holds a single GPU type).\nYou also choose how it's powered, which affects electricity cost, cluster efficiency and reputation. Compute (FLOPs / tokens-per-sec) sets how big a model you can train and how fast.\nIdle owned compute can be rented out for income, and public open models can be served for inference right here."
HELP_DATASET_TITLE,数据集,Datasets
HELP_DATASET_BODY,"在「数据」获取训练用的数据。三种来源: 开源 (便宜、质量一般)、购买 (现成、要钱)、采集 (自己开任务攒, 可选模态与质量档)。\n每份数据集有规模 (token 数)、质量和模态 (文本 / 图像 / 音频 / 视频 / 代码)。训练时数据会被该任务锁定。\n预训练吃海量原始 token; 后训练是少量高质量数据, 用来定向拉高某个能力轴。","Get training data in Data. Three sources: open-source (cheap, average quality), purchase (ready-made, costs money), and collection (run a task to gather it yourself, choosing modality and quality tier).\nEach dataset has a size (tokens), quality and modality (text / image / audio / video / code). Data is locked by a task while it trains.\nPretraining eats huge raw token counts; post-training uses small high-quality data to sharpen a specific capability axis."
HELP_TECH_TITLE,科技树,Tech tree
HELP_TECH_BODY,"在「科技」研究技术节点, 永久提升你的能力。节点分多棵树 (架构 / 注意力 / Loss / 工程 / 应用 / 上下文), 有前置依赖, 解锁后给训练或推理带来加成 (如更长上下文、更高吞吐)。\n研究本身也是一个任务: 要投入 lead / 研究员 / 工程师和算力, 持续若干周, 期间占用算力, 且不可逆。\n注意有些方向是历史死路 (看似有纵深, 评分却被封顶), 选路要想清楚。","Research tech nodes in Tech for permanent upgrades. Nodes sit in several trees (architecture / attention / loss / engineering / application / context) with prerequisites; unlocking one boosts training or inference (longer context, higher throughput, etc.).\nResearch is itself a task: it needs leads / researchers / engineers and compute, runs for several weeks, ties up that compute, and is irreversible.\nNote some branches are historical dead ends (they look deep but their score is capped) — choose your path carefully."
ECO_CAT_REVENUE,产品营收,Product Revenue
ECO_CAT_FUNDING,融资,Funding
ECO_CAT_GPU_RESALE,GPU 转售,GPU Resale
ECO_CAT_GPU_RENTAL,GPU 出租,GPU Rental
ECO_CAT_LOAN_IN,贷款进账,Loan Received
ECO_CAT_TASK_REFUND,任务退款,Task Refund
ECO_CAT_RENTAL_FEE,出租平台管理费,Rental Platform Fee
ECO_CAT_SALARIES,工资,Salaries
ECO_CAT_HIRE_FEE,招聘签约费,Signing Fee
ECO_CAT_FACILITY_RENT,机房租金,Facility Rent
ECO_CAT_FACILITY_BUILD,机房建设,Facility Construction
ECO_CAT_GPU_RUNTIME,GPU 运行,GPU Runtime
ECO_CAT_CLOUD_GPU,云 GPU,Cloud GPU
ECO_CAT_GPU_PURCHASE,GPU 采购,GPU Purchase
ECO_CAT_LOAN_INTEREST,贷款利息,Loan Interest
ECO_CAT_LOAN_PRINCIPAL,贷款还本,Loan Principal
ECO_CAT_LOAN_REPAID,主动还贷,Loan Repayment
ECO_CAT_TASK_START,任务启动费,Task Startup Fee
ECO_CAT_TASK_WEEKLY,任务周费,Task Weekly Fee
ECO_CAT_DATASET_PURCHASE,数据集购买,Dataset Purchase
ECO_CAT_CHARITY,慈善捐助,Charity Donation
ECO_CAT_COLLECTIBLE_BUY,收藏品购买,Collectible Purchase
ECO_CAT_COLLECTIBLE_SELL,收藏品出售,Collectible Sale
ECO_CAT_SIMULATION,宇宙模拟,Universe Simulation
ECO_CAT_CORP_TAX,企业所得税,Corporate Tax
ECO_CAT_AI_UBI_TAX,AI 税(UBI),AI Tax (UBI)
ECO_CAT_EVENT,事件,Event
ECO_CAT_CAMPAIGN,营销,Marketing
ECO_CAT_OTHER_EXPENSE,其他,Other
TASK_MOD_LEAD_SPEEDUP,Lead 加速,Lead Speedup
TASK_MOD_DATASET_QUALITY,数据质量,Data Quality
TASK_MOD_DATA_BREADTH,通用底盘覆盖,General Data Breadth
TASK_MOD_ARCH_CAPABILITY,架构能力系数,Arch Capability Coef.
TASK_MOD_LEAD_SCORE_BONUS,科学家训练加分,Scientist Training Bonus
TASK_MOD_CLUSTER_EFFICIENCY,集群效率,Cluster Efficiency
TASK_MOD_ARCH_TRAIN,架构训练系数,Arch Training Coef.
TASK_MOD_ATTENTION_TRAIN,注意力训练系数,Attention Training Coef.
TASK_MOD_LOSS_TRAIN,Loss 训练系数,Loss Training Coef.
TASK_MOD_CONTEXT_PENALTY,上下文长度成本,Context Length Cost
TASK_MOD_LOSS_CAPABILITY,Loss 能力系数,Loss Capability Coef.
TASK_MOD_STAFF_SPEEDUP,ML 工程师加速,ML Engineer Speedup
INFRA_CLOUD_DC,云算力 ×%d 卡,Cloud GPUs ×%d
FOUNDER_NEUTRAL,无出身,No Background
TURN_LABEL,第 %d 周 · %s,Week %d · %s
HELP_MARKETING_TITLE,营销,Marketing
HELP_MARKETING_BODY,"在「营销」为产品投放营销活动, 加速用户增长。\n活动按周扣预算、需要营销员工, 不同细分受众 / 渠道效果不同; 营销做得好能放大产品获客, 但烧钱, 要和现金流平衡。\n营销加成不是永久的 —— 停投后增长会回落到产品自身的吸引力水平。","Run marketing campaigns for your products in Marketing to accelerate user growth.\nCampaigns spend a weekly budget and need marketing staff; different audience segments / channels perform differently. Good marketing amplifies a product's customer acquisition, but it burns cash — balance it against your cash flow.\nMarketing boosts aren't permanent — once you stop, growth falls back to the product's own pull."
HELP_COMPETITORS_TITLE,竞争对手,Competitors
HELP_COMPETITORS_BODY,"在「竞争对手」查看你和其他 AI 公司的排名。分两类榜单: 闭源模型榜和开源模型榜, 各按已发布模型的能力排座次。\n对手会随时间推出更强的模型, 把你挤下去; 你的排名影响声誉, 进而影响获客与融资。\n想往上爬, 就持续发布更强的模型、保持领先。","See how you rank against other AI companies in Competitors. There are two boards — closed-source and open-source models — each ranking published models by capability.\nRivals release stronger models over time and can push you down; your rank affects reputation, which in turn affects customer acquisition and funding.\nTo climb, keep publishing stronger models and stay ahead."
HELP_TASKS_TITLE,任务,Tasks
HELP_TASKS_BODY,"「任务」集中展示所有进行中任务的进度, 也能取消它们。\n训练、后训练、评估、数据采集、科技研究、捐助都是任务 —— 它们在对应界面 (模型 / 数据 / 科技 / 慈善) 启动, 占用 lead / 员工 / 算力, 每推进一回合走若干进度, 完成时结算产出。\n这里不新建任务, 只看进度和喊停; 算力 / 人力被占满时, 新任务起不来。","Tasks shows the progress of everything currently running, and lets you cancel them.\nTraining, post-training, evaluation, data collection, tech research and donations are all tasks — you start them from their own screens (Models / Data / Tech / Charity); they tie up leads / staff / compute, advance some progress each turn, and settle their output on completion.\nYou don't create tasks here — just watch progress and stop them. When compute or staff are fully booked, new tasks can't start."
HELP_EVENTS_TITLE,事件,Events
HELP_EVENTS_BODY,"「事件」是每隔一段时间触发的卡牌, 给你抉择或随机冲击 (机遇 / 危机 / 行业动态)。\n有待处理的事件时, 顶栏「推进回合」会被锁住 —— 必须先在这里做出选择才能继续推进。\n不同选项有不同的代价与收益, 有的还会留下后续影响; 仔细读再决定。","Events are cards that trigger every so often, giving you choices or random shocks (opportunities / crises / industry news).\nWhile an event is pending, the Advance Turn button is locked — you must resolve it here before you can move on.\nDifferent options carry different costs and rewards, and some leave lasting effects; read carefully before deciding."
HELP_CHARITY_TITLE,慈善,Charity
HELP_CHARITY_BODY,"「慈善」是后期的现金出口: 向公益方向 (生物科学 / 基础超算 / 失业援助) 阶梯式捐助。\n每次捐助是一个任务: 当周一次性扣钱、可全额抵税, 完成后激活一个小而封顶的长期加成 (如估值乘子 / 营销转化)。每个方向三档, 顺序爬梯、每档只捐一次。\n捐够了还会解锁「宇宙模拟」终极工程。这是钱多了之后的去处, 不是开局重点。","Charity is a late-game cash sink: make tiered donations to causes (bio science / fundamental compute / unemployment relief).\nEach donation is a task — it costs cash that week (fully tax-deductible) and, on completion, activates a small capped long-term bonus (e.g. valuation multiplier / marketing conversion). Each cause has three tiers, climbed in order, once each.\nDonate enough and you unlock the 'universe simulation' capstone project. This is where surplus cash goes — not an early-game focus."
HELP_COLLECTION_TITLE,收藏与拍卖,Collectibles & auction
HELP_COLLECTION_BODY,"「拍卖行」按当前市价买入收藏品 (限量艺术品 / 卡牌 / 超跑等), 它们是会增值的资产: 市价随游戏日历沿增值曲线上涨 (有上限)。\n买到的藏品在「办公室」的收藏柜里管理, 可按市价卖出 (扣一点抽成)。\n这是把闲钱变成增值资产的玩法, 也是后期 money sink; 办公室里还会陈列你获得的奖杯。","The Auction house sells collectibles (limited art / cards / supercars, etc.) at the current market price — they're appreciating assets whose price rises along a value curve as the in-game calendar advances (with a cap).\nWhat you buy is managed in the cabinet in your Office, and can be sold at market price (minus a small fee).\nIt's a way to turn idle cash into appreciating assets and a late-game money sink; your Office also displays the trophies you've earned."
